Waktu Relatif (s),Nilai Sensor
0.0,11.6
0.1,14.9
0.2,13.0
0.301,13.1
0.401,11.8
0.501,11.4
0.601,12.9
0.701,10.7
0.801,10.9
0.902,13.4
1.002,10.6
1.102,14.7
1.202,12.2
1.303,13.3
1.403,11.5
1.503,11.9
1.603,11.6
1.704,13.4
1.804,14.7
1.904,10.4
2.004,14.5
2.105,10.8
2.205,14.0
2.305,10.7
2.405,13.8
2.505,10.7
2.606,14.8
2.706,14.6
2.806,10.6
2.906,14.7
3.007,12.4
3.107,14.1
3.207,11.4
3.307,12.8
3.407,13.7
3.508,12.7
3.608,12.1
3.708,10.1
3.808,12.8
3.909,12.2
4.009,12.5
4.109,14.7
4.209,10.4
4.31,11.6
4.41,12.9
4.51,11.2
4.61,12.2
4.71,13.9
4.811,13.9
4.911,12.8
5.011,10.1
5.111,12.8
5.212,14.0
5.312,14.1
5.412,13.1
5.512,13.3
5.613,13.6
5.713,12.2
5.813,14.7
5.913,13.8
6.013,10.7
6.114,12.9
6.214,11.1
6.314,13.3
6.414,10.7
6.515,13.1
6.615,10.5
6.715,10.8
6.815,10.6
6.915,15.0
7.016,14.3
7.116,12.8
7.216,11.0
7.316,11.9
7.417,10.3
7.517,10.6
7.617,10.5
7.717,10.3
7.817,13.7
7.918,12.2
8.018,11.1
8.118,10.7
8.218,13.5
8.319,10.4
8.419,14.9
8.519,10.5
8.619,14.7
8.72,12.0
8.82,10.5
8.92,14.3
9.02,10.7
9.12,11.9
9.221,10.1
9.321,14.3
9.421,12.8
9.521,12.6
9.622,14.8
9.722,14.5
9.822,13.1
9.922,14.8
